Date,Received,Sent
20221120,5828972,5828972
20221119,5877990,5877990
20221118,55461401,55461401
20221117,2122152,2122152
20221116,7513255,7513255
20221115,7327297,7327297
20221114,1343065,1343065
20221113,20947531,20947531
20221112,20040613,20040613
20221111,18537343,18537343
20221110,628160,628160
20221109,58001354,58001354
20221108,8771215,8771215
20221107,3636726,3636726
20221106,13088222,13088222
20221104,23158417,23158417
20221103,8613107,8613107
20221102,44226266,44226266
20221101,17455758,17455758
20221031,488861,488861
20221030,1272626,1272626
20221029,8536475,8536475
20221028,5773065,5773065
20221027,2362534817,2362534817